canonical_experiment_key,formal_run_id,model,granularity,mode,formal_complete,ours_auroc,paper_auroc,difference,mapping_status,bootstrap_status,bootstrap_ci_available,best_checkpoint_reference_status,best_epoch_status,runtime_status,checkpoint_binary_status,prediction_evidence_status,canonical_identity_status,source_table,provenance_note
ECG-FM|all|Frozen,PTBXL_ALL_ECG_FM_FROZEN_FORMAL_RUN_015,ECG-FM,all,Frozen,YES,0.8841570476302272,0.884,0.0001570476302272,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE4_FROZEN.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_FM_FROZEN_FORMAL_RUN_015_RETRY_01/test_0_epoch_100_agg.npz
ECG-FM|all|Linear,PTBXL_ALL_ECG_FM_LINEAR_FORMAL_RUN_016,ECG-FM,all,Linear,YES,0.8524638303812679,0.841,0.0114638303812679,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE5_LINEAR.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_FM_LINEAR_FORMAL_RUN_016/test_0_epoch_100_agg.npz
ECG-FM|sub|Finetuning,PTBXL_SUB_ECG_FM_FINETUNING_FORMAL_052_07,ECG-FM,sub,Finetuning,YES,0.9238766269677311,0.932,-0.0081233730322689,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,RESOLVED_V2,tables/FINAL_TABLE3_FINETUNING.csv,Resolved by execution_control/PTBXL_FINAL_CLOSURE/FINAL_CANONICAL_RUN_ID_MAP_V2; historical table placeholder preserved.
ECG-FM|sub|Frozen,PTBXL_SUB_ECG_FM_FROZEN_FORMAL_052_08,ECG-FM,sub,Frozen,YES,0.9067981850900095,0.912,-0.0052018149099905,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,RESOLVED_V2,tables/FINAL_TABLE4_FROZEN.csv,Resolved by execution_control/PTBXL_FINAL_CLOSURE/FINAL_CANONICAL_RUN_ID_MAP_V2; historical table placeholder preserved.
ECG-FM|sub|Linear,PTBXL_SUB_ECG_FM_LINEAR_FORMAL_052_09,ECG-FM,sub,Linear,YES,0.8789245176521392,0.866,0.0129245176521392,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,RESOLVED_V2,tables/FINAL_TABLE5_LINEAR.csv,Resolved by execution_control/PTBXL_FINAL_CLOSURE/FINAL_CANONICAL_RUN_ID_MAP_V2; historical table placeholder preserved.
ECG-FM|super|Finetuning,PTBXL_SUPER_ECG_FM_FINETUNING_FORMAL_052_10,ECG-FM,super,Finetuning,YES,0.9171173212492894,0.916,0.0011173212492894,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE3_FINETUNING.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_SUPER_ECG_FM_FINETUNING_FORMAL_052_10/test_0_epoch_100_agg.npz
ECG-FM|super|Frozen,PTBXL_SUPER_ECG_FM_FROZEN_FORMAL_052_11,ECG-FM,super,Frozen,YES,0.8823790082234277,0.877,0.0053790082234277,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE4_FROZEN.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_SUPER_ECG_FM_FROZEN_FORMAL_052_11/test_0_epoch_100_agg.npz
ECG-FM|super|Linear,PTBXL_SUPER_ECG_FM_LINEAR_FORMAL_052_12,ECG-FM,super,Linear,YES,0.8763569197393005,0.873,0.0033569197393005,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE5_LINEAR.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_SUPER_ECG_FM_LINEAR_FORMAL_052_12/test_0_epoch_100_agg.npz
ECG-JEPA|all|Finetuning,PTBXL_ALL_ECG_JEPA_FINETUNING_FORMAL,ECG-JEPA,all,Finetuning,YES,0.9386736236314708,0.940,-0.0013263763685292,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE3_FINETUNING.csv,REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/ecg_jepa/test_0_epoch_100_agg.npz
ECG-JEPA|all|Frozen,PTBXL_ALL_ECG_JEPA_FROZEN_FORMAL_RUN_003,ECG-JEPA,all,Frozen,YES,0.9289644981410439,0.934,-0.0050355018589561,PASS,COMPLETE,YES,RECOVERED,RECOVERED,RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE4_FROZEN.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_JEPA_FROZEN_FORMAL_RUN_003/test_0_epoch_100_agg.npz
ECG-JEPA|all|Linear,PTBXL_ALL_ECG_JEPA_LINEAR_FORMAL_RUN_004,ECG-JEPA,all,Linear,YES,0.928294591305743,0.928,0.000294591305743,PASS,COMPLETE,YES,RECOVERED,RECOVERED,RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE5_LINEAR.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_JEPA_LINEAR_FORMAL_RUN_004/test_0_epoch_100_agg.npz
ECG-JEPA|sub|Finetuning,PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL,ECG-JEPA,sub,Finetuning,YES,0.9331787357525979,0.935,-0.0018212642474021,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE3_FINETUNING.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL/test_0_epoch_100_agg.npz
ECG-JEPA|sub|Frozen,PTBXL_SUB_05_ECG_JEPA_FROZEN_FORMAL,ECG-JEPA,sub,Frozen,YES,0.9347207171608186,0.934,0.0007207171608186,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE4_FROZEN.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_05_ECG_JEPA_FROZEN_FORMAL/test_0_epoch_100_agg.npz
ECG-JEPA|sub|Linear,PTBXL_SUB_06_ECG_JEPA_LINEAR_FORMAL,ECG-JEPA,sub,Linear,YES,0.9146194939756961,0.916,-0.0013805060243039,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE5_LINEAR.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_06_ECG_JEPA_LINEAR_FORMAL/test_0_epoch_100_agg.npz
ECG-JEPA|super|Finetuning,PTBXL_SUPER_04_ECG_JEPA_FINETUNING_FORMAL,ECG-JEPA,super,Finetuning,YES,0.923856682590019,0.921,0.002856682590019,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE3_FINETUNING.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_775/PTBXL_SUPER_04_ECG_JEPA_FINETUNING_FORMAL/test_0_epoch_100_agg.npz
ECG-JEPA|super|Frozen,PTBXL_SUPER_05_ECG_JEPA_FROZEN_FORMAL,ECG-JEPA,super,Frozen,YES,0.918862323024819,0.917,0.001862323024819,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE4_FROZEN.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_775/PTBXL_SUPER_05_ECG_JEPA_FROZEN_FORMAL/test_0_epoch_100_agg.npz
ECG-JEPA|super|Linear,PTBXL_SUPER_06_ECG_JEPA_LINEAR_FORMAL,ECG-JEPA,super,Linear,YES,0.910853317637909,0.911,-0.000146682362091,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE5_LINEAR.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_775/PTBXL_SUPER_06_ECG_JEPA_LINEAR_FORMAL/test_0_epoch_100_agg.npz
ECGFM-KED|all|Finetuning,PTBXL_ALL_ECGFM_KED_FINETUNING_FORMAL,ECGFM-KED,all,Finetuning,YES,0.9046777481903444,0.889,0.0156777481903444,PASS,COMPLETE,YES,RECOVERED,RECOVERED,NOT_RECOVERED,AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE3_FINETUNING.csv,REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/ecgfm_ked/formal_archive_195/formal_tests/ecgfm_ked_ptbxl_all_best_no_bootstrap_195/predictions/ptbxl_all_version_0/agg/test_0_epoch_0_agg.npz
ECGFM-KED|all|Frozen,PTBXL_ALL_ECGFM_KED_FROZEN_FORMAL_RUN_009,ECGFM-KED,all,Frozen,YES,0.812137109350008,0.810,0.002137109350008,PASS,COMPLETE,YES,RECOVERED,RECOVERED,RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE4_FROZEN.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECGFM_KED_FROZEN_FORMAL_RUN_009/test_0_epoch_100_agg.npz
ECGFM-KED|all|Linear,PTBXL_ALL_ECGFM_KED_LINEAR_FORMAL_RUN_010,ECGFM-KED,all,Linear,YES,0.688631656489716,0.706,-0.017368343510284,PASS,COMPLETE,YES,RECOVERED,RECOVERED,RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE5_LINEAR.csv,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECGFM_KED_LINEAR_FORMAL_RUN_010/test_0_epoch_100_agg.npz
ECGFM-KED|sub|Finetuning,PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2,ECGFM-KED,sub,Finetuning,YES,0.9056376137083256,0.908,-0.0023623862916744,PASS,COMPLETE,YES,RECOVERED,NOT_RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE3_FINETUNING.csv,EMERGENCY_WORKERS instance=087; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2/test_0_epoch_0_agg.npz
ECGFM-KED|sub|Frozen,PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2,ECGFM-KED,sub,Frozen,YES,0.9133209110207481,0.816,0.0973209110207481,PASS,COMPLETE,YES,RECOVERED,NOT_RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE4_FROZEN.csv,EMERGENCY_WORKERS instance=087; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2/test_0_epoch_0_agg.npz
ECGFM-KED|sub|Linear,PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2,ECGFM-KED,sub,Linear,YES,0.8674198274876407,0.734,0.1334198274876407,PASS,COMPLETE,YES,RECOVERED,NOT_RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE5_LINEAR.csv,EMERGENCY_WORKERS instance=087; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2/test_0_epoch_0_agg.npz
ECGFM-KED|super|Finetuning,PTBXL_SUPER_13_ECGFM_KED_FINETUNING_FORMAL_SUPER2,ECGFM-KED,super,Finetuning,YES,0.9127865059623268,0.905,0.0077865059623268,PASS,COMPLETE,YES,RECOVERED,NOT_RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE3_FINETUNING.csv,EMERGENCY_WORKERS instance=F42; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_13_ECGFM_KED_FINETUNING_FORMAL_SUPER2; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_13_ECGFM_KED_FINETUNING_FORMAL_SUPER2/test_0_epoch_0_agg.npz
ECGFM-KED|super|Frozen,PTBXL_SUPER_14_ECGFM_KED_FROZEN_FORMAL_SUPER2,ECGFM-KED,super,Frozen,YES,0.9086709460592648,0.865,0.0436709460592648,PASS,COMPLETE,YES,RECOVERED,NOT_RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE4_FROZEN.csv,EMERGENCY_WORKERS instance=F42; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_14_ECGFM_KED_FROZEN_FORMAL_SUPER2; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_14_ECGFM_KED_FROZEN_FORMAL_SUPER2/test_0_epoch_0_agg.npz
ECGFM-KED|super|Linear,PTBXL_SUPER_15_ECGFM_KED_LINEAR_FORMAL_SUPER2,ECGFM-KED,super,Linear,YES,0.8771093010374056,0.802,0.0751093010374056,PASS,COMPLETE,YES,RECOVERED,NOT_RECOVERED,NOT_RECOVERED,NOT_AVAILABLE,AVAILABLE_STRICT_MAPPING_PASS,EXISTING_FINALIZED_IDENTITY,tables/FINAL_TABLE5_LINEAR.csv,EMERGENCY_WORKERS instance=F42; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_15_ECGFM_KED_LINEAR_FORMAL_SUPER2; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_15_ECGFM_KED_LINEAR_FORMAL_SUPER2/test_0_epoch_0_agg.npz
