"dataset","model","mode","paper_macro_auroc","ours_macro_auroc","difference","ci_low","ci_high","best_epoch","runtime","prediction_status","ecg_id_mapping_status","bootstrap_status","canonical_run","provenance_reference","notes","paper_reference_source","paper_reference_status","best_checkpoint_reference","checkpoint_currently_available","best_checkpoint_used_during_formal_run"
"ptbxl_sub","ST-MEM","Linear","0.916","0.9148336391255671","-0.0011663608744329","0.8821931779384613","0.9249387562274933","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_09_ST_MEM_LINEAR_FORMAL","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_780/PTBXL_SUB_09_ST_MEM_LINEAR_FORMAL/predictions/ptbxl_sub_version_0/agg/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_09_ST_MEM_LINEAR_FORMAL/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","MERL","Linear","0.895","0.8924090142011554","-0.0025909857988446","0.8608739003539085","0.9056489869952202","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1","EMERGENCY_WORKERS instance=438; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ECGFM-KED","Linear","0.734","0.8674198274876407","0.1334198274876407","0.8390335500240326","0.8916902467608452","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2","EMERGENCY_WORKERS instance=087; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2/test_0_epoch_0_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","HuBERT-ECG","Linear","0.898","0.8958144901266267","-0.0021855098733733","0.864751809835434","0.9050058230757714","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3","EMERGENCY_WORKERS instance=746; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3/test_0_epoch_0_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_18_HUBERT_ECG_LINEAR_FORMAL_SUB3/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ECG-CPC","Linear","0.886","0.8861611568482203","0.0001611568482203","0.8565721765160561","0.8948589563369751","99","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","HUMAN_AUTHORITY_CONFIRMED__SUB_ECG_CPC_LINEAR__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUB_ECG_CPC_LINEAR_FORMAL_052_03/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB_ECG_CPC_LINEAR_FORMAL_052_03/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_sub","ECG-FM","Linear","0.866","0.8789245176521392","0.0129245176521392","0.8488399595022201","0.8885488092899323","8","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","HUMAN_AUTHORITY_CONFIRMED__SUB_ECG_FM_LINEAR__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUB_ECG_FM_LINEAR_FORMAL_052_09/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB_ECG_FM_LINEAR_FORMAL_052_09/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","ECGFounder","Linear","0.924","0.9245959899745847","0.0005959899745847","0.9174638107419014","0.9311424747109414","48","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUPER_03_ECGFOUNDER_LINEAR_FORMAL","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_775/PTBXL_SUPER_03_ECGFOUNDER_LINEAR_FORMAL/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER/PTBXL_SUPER_03_ECGFOUNDER_LINEAR_FORMAL/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","ECG-JEPA","Linear","0.911","0.910853317637909","-0.000146682362091","0.9034518763422966","0.917954808473587","81","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUPER_06_ECG_JEPA_LINEAR_FORMAL","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_775/PTBXL_SUPER_06_ECG_JEPA_LINEAR_FORMAL/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER/PTBXL_SUPER_06_ECG_JEPA_LINEAR_FORMAL/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","ST-MEM","Linear","0.896","0.8955476063380189","-0.0004523936619811","0.8875308722257614","0.9033091068267822","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUPER_09_ST_MEM_LINEAR_FORMAL","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_775/PTBXL_SUPER_09_ST_MEM_LINEAR_FORMAL/predictions/ptbxl_super_version_0/agg/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER/PTBXL_SUPER_09_ST_MEM_LINEAR_FORMAL/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","MERL","Linear","0.887","0.8874407345608608","0.0004407345608608","0.878280945122242","0.8959893226623535","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUPER_12_MERL_LINEAR_FORMAL_SUPER1","EMERGENCY_WORKERS instance=573; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_12_MERL_LINEAR_FORMAL_SUPER1; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_12_MERL_LINEAR_FORMAL_SUPER1/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER/PTBXL_SUPER_12_MERL_LINEAR_FORMAL_SUPER1/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","ECGFM-KED","Linear","0.802","0.8771093010374056","0.0751093010374056","0.8679097905755043","0.8853401422500611","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUPER_15_ECGFM_KED_LINEAR_FORMAL_SUPER2","EMERGENCY_WORKERS instance=F42; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_15_ECGFM_KED_LINEAR_FORMAL_SUPER2; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_15_ECGFM_KED_LINEAR_FORMAL_SUPER2/test_0_epoch_0_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER/PTBXL_SUPER_15_ECGFM_KED_LINEAR_FORMAL_SUPER2/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","HuBERT-ECG","Linear","0.877","0.8765862858034984","-0.0004137141965016","0.8675896883010864","0.8853186324238778","NOT_RECOVERED","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUPER_18_HUBERT_ECG_LINEAR_FORMAL_SUPER3","EMERGENCY_WORKERS instance=E96; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_18_HUBERT_ECG_LINEAR_FORMAL_SUPER3; SHA256 VERIFIED; aggregate=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUPER_18_HUBERT_ECG_LINEAR_FORMAL_SUPER3/test_0_epoch_0_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER/PTBXL_SUPER_18_HUBERT_ECG_LINEAR_FORMAL_SUPER3/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","ECG-CPC","Linear","0.863","0.8624813743871677","-0.0005186256128323","0.8535593926906586","0.870682081580162","99","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","HUMAN_AUTHORITY_CONFIRMED__SUPER_ECG_CPC_LINEAR__CANONICAL_RUN_ID_PENDING_LOCAL_RECOVERY","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_451_RESIDUAL_SPECIAL_BUNDLE/PTBXL_SUPER_ECG_CPC_LINEAR_FORMAL_052_06/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER_ECG_CPC_LINEAR_FORMAL_052_06/output/version_0/best_model.ckpt","NO","YES"
"ptbxl_super","ECG-FM","Linear","0.873","0.8763569197393005","0.0033569197393005","0.8667688697576523","0.8851681858301162","99","NOT_RECOVERED","AVAILABLE_STRICT_MAPPING_PASS","PASS","COMPLETED","PTBXL_SUPER_ECG_FM_LINEAR_FORMAL_052_12","REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_SUPER_ECG_FM_LINEAR_FORMAL_052_12/test_0_epoch_100_agg.npz","No corresponding verified paper value was located in the existing local paper extract; no value was inferred.","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER","/root/autodl-tmp/ECG/formal_runs/PTBXL_SUPER_ECG_FM_LINEAR_FORMAL_052_12/output/version_0/best_model.ckpt","NO","YES"
