canonical_run,dataset,model,mode,raw_prediction_shape,saved_aggregate_shape,windows_per_ecg,unique_test_ecg_ids,prediction_to_ecg_id,target_group_consistency,aggregation_reconstruction,saved_aggregate_match,output_dimension,max_abs_diff,strict_mapping_result
PTBXL_SUB_ECG_CPC_FINETUNING_FORMAL_052_01,PTB-XL(sub),ECG-CPC,Finetuning,8792x23,2198x23,4,2198,PASS,PASS,PASS,PASS,23,0.0,PASS
PTBXL_SUB_ECG_CPC_FROZEN_FORMAL_052_02,PTB-XL(sub),ECG-CPC,Frozen,8792x23,2198x23,4,2198,PASS,PASS,PASS,PASS,23,0.0,PASS
PTBXL_SUB_ECG_CPC_LINEAR_FORMAL_052_03,PTB-XL(sub),ECG-CPC,Linear,8792x23,2198x23,4,2198,PASS,PASS,PASS,PASS,23,0.0,PASS
PTBXL_SUB_ECG_FM_FINETUNING_FORMAL_052_07,PTB-XL(sub),ECG-FM,Finetuning,4396x23,2198x23,2,2198,PASS,PASS,PASS,PASS,23,0.0,PASS
PTBXL_SUB_ECG_FM_FROZEN_FORMAL_052_08,PTB-XL(sub),ECG-FM,Frozen,4396x23,2198x23,2,2198,PASS,PASS,PASS,PASS,23,0.0,PASS
PTBXL_SUB_ECG_FM_LINEAR_FORMAL_052_09,PTB-XL(sub),ECG-FM,Linear,4396x23,2198x23,2,2198,PASS,PASS,PASS,PASS,23,0.0,PASS
PTBXL_SUPER_ECG_CPC_FINETUNING_FORMAL_052_04,PTB-XL(super),ECG-CPC,Finetuning,8792x5,2198x5,4,2198,PASS,PASS,PASS,PASS,5,0.0,PASS
PTBXL_SUPER_ECG_CPC_FROZEN_FORMAL_052_05,PTB-XL(super),ECG-CPC,Frozen,8792x5,2198x5,4,2198,PASS,PASS,PASS,PASS,5,0.0,PASS
PTBXL_SUPER_ECG_CPC_LINEAR_FORMAL_052_06,PTB-XL(super),ECG-CPC,Linear,8792x5,2198x5,4,2198,PASS,PASS,PASS,PASS,5,0.0,PASS
