dataset,model,mode,canonical_run,mapping_status,bootstrap_status,point_macro_auroc,ci_low,ci_high,iterations,helper_path,provenance
ptbxl_all,ECGFM-KED,Linear,PTBXL_ALL_ECGFM_KED_LINEAR_FORMAL_RUN_010,PASS,COMPLETED,0.688631656489716,0.6704775884747505,0.7131613701581955,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECGFM_KED_LINEAR_FORMAL_RUN_010/test_0_epoch_100_agg.npz
ptbxl_all,HuBERT-ECG,Finetuning,PTBXL_ALL_HUBERT_ECG_FINETUNING_FORMAL,PASS,COMPLETED,0.9130755189920841,0.8819938063621521,0.917936772108078,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/hubert_ecg/remote_snapshot/formal_tests/hubert_ecg_ptbxl_all_best_epoch8_no_bootstrap_20260818T133913+0800/predictions/ptbxl_all_version_0/agg/test_0_epoch_0_agg.npz
ptbxl_all,HuBERT-ECG,Frozen,PTBXL_ALL_HUBERT_ECG_FROZEN_FORMAL_RUN_011,PASS,COMPLETED,0.8836542745917262,0.8528773784637451,0.8887868762016297,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_HUBERT_ECG_FROZEN_FORMAL_RUN_011/test_0_epoch_100_agg.npz
ptbxl_all,HuBERT-ECG,Linear,PTBXL_ALL_HUBERT_ECG_LINEAR_FORMAL_RUN_012,PASS,COMPLETED,0.8651979364334863,0.8339095398783684,0.872191059589386,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_HUBERT_ECG_LINEAR_FORMAL_RUN_012/test_0_epoch_100_agg.npz
ptbxl_all,ECG-CPC,Finetuning,PTBXL_ALL_ECG_CPC_FINETUNING_FORMAL,PASS,BLOCKED_EXISTING_PROVENANCE,0.9489525779063319,,,,,REUSED_LEGACY_55_RUNS; 
ptbxl_all,ECG-CPC,Frozen,PTBXL_ALL_ECG_CPC_FROZEN_FORMAL_RUN_013,PASS,COMPLETED,0.9332918051170961,0.9011684745550156,0.9362676322460175,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_CPC_FROZEN_FORMAL_RUN_013/test_0_epoch_100_agg.npz
ptbxl_all,ECG-CPC,Linear,PTBXL_ALL_ECG_CPC_LINEAR_FORMAL_RUN_014,PASS,COMPLETED,0.8735590173033532,0.8443989798426628,0.8789446771144866,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_CPC_LINEAR_FORMAL_RUN_014/test_0_epoch_100_agg.npz
ptbxl_all,ECG-FM,Finetuning,PTBXL_ALL_ECG_FM_FINETUNING_FORMAL,PASS,COMPLETED,0.9240472984002527,0.8909001022577285,0.9276217266917228,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; experiments/ptbxl_all/ecg_fm/remote_artifacts/ecg_fm_ptbxl_all_formal_20260817T104823Z/test_stage_no_bootstrap_20260817T163225Z/predictions/ptbxl_all_version_0/agg/test_0_epoch_0_agg.npz
ptbxl_all,ECG-FM,Frozen,PTBXL_ALL_ECG_FM_FROZEN_FORMAL_RUN_015,PASS,COMPLETED,0.8841570476302272,0.8508604735136032,0.8934981390833855,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_FM_FROZEN_FORMAL_RUN_015_RETRY_01/test_0_epoch_100_agg.npz
ptbxl_all,ECG-FM,Linear,PTBXL_ALL_ECG_FM_LINEAR_FORMAL_RUN_016,PASS,COMPLETED,0.8524638303812679,0.8222985759377479,0.8620819941163063,1000,upstream/ecg-fm-benchmarking/code/clinical_ts/utils/bootstrap_utils.py::empirical_bootstrap,REUSED_LEGACY_55_RUNS; execution_control/PTBXL_FINAL_CLOSURE/mapping_evidence/instance_451/PTBXL_ALL_ECG_FM_LINEAR_FORMAL_RUN_016/test_0_epoch_100_agg.npz
